url,title,status,depth
https://voi.0101.co.jp/voi/content/01/sp/guide/site/favorite-shop-maile.html,ご利用ガイド・ヘルプ │ ショップ別入荷&セール商品速報メール │マルイウェブチャネル,200,87
https://voi.0101.co.jp/voi/content/01/sp/guide/site/security.html,ご利用ガイド・ヘルプ │ セキュリティについて │マルイウェブチャネル,200,88
https://voi.0101.co.jp/voi/content/01/sp/guide/policy/terms.html,ご利用ガイド・ヘルプ │ マルイウェブチャネル利用規約 │マルイウェブチャネル,200,89
https://voi.0101.co.jp/voi/content/01/sp/guide/policy.html,ご利用ガイド・ヘルプ │ 利用規約 │マルイウェブチャネル,200,90
https://voi.0101.co.jp/voi/content/01/sp/guide/policy/privacy.html,ご利用ガイド・ヘルプ │ 個人情報の取り扱いに関する同意条項 │マルイウェブチャネル,200,91
https://voi.0101.co.jp/voi/content/01/sp/guide/policy/data-sharing.html,ご利用ガイド・ヘルプ │ 個人情報の取り扱いに関する同意条項第2条に定める共同利用会社等 │マルイウェブチャネル,200,92
https://voi.0101.co.jp/voi/content/01/sp/guide/policy/web-privacy.html,ご利用ガイド・ヘルプ │ ウェブサイトにおける個人情報等の取り扱いについて │マルイウェブチャネル,200,93
https://voi.0101.co.jp/voi/content/01/sp/guide/policy/ad-policy.html,ご利用ガイド・ヘルプ │ 行動ターゲティング広告について │マルイウェブチャネル,200,94
https://voi.0101.co.jp/voi/content/01/sp/guide/policy/customer-harassment.html,ご利用ガイド・ヘルプ │ 丸井グループ カスタマーハラスメント対応方針 │マルイウェブチャネル,200,95
https://voi.0101.co.jp/voi/content/01/sp/guide/index/chatbot.html,ヘルプチャット ｜マルイウェブチャネル,200,96
https://voi.0101.co.jp/voi/mailInquiryCatSelect,マルイウェブチャネル,200,96
https://voi.0101.co.jp/voi/guide/userguide/shopping,ご利用ガイド・ヘルプ │ ご注文について │マルイウェブチャネル,200,97
https://voi.0101.co.jp/voi/content/01/sp/other/mailmagazine/index.html,メールマガジン登録  | ファッション通販 マルイウェブチャネル,200,98
https://voi.0101.co.jp/voi/epos/link7.jsp,ログイン | マルイウェブチャネル,200,99
https://voi.0101.co.jp/voi/agreement.html,Error: AttributeError,Error,99
https://voi.0101.co.jp/voi/agreement,マルイウェブチャネル,200,99
https://voi.0101.co.jp/voi/content/01/pc/guide/cookie/index.html,マルイウェブチャネルCookieポリシー マルイ,200,100
https://voi.0101.co.jp/voi/content/01/sp/guide/cookie/index.html,マルイウェブチャネルCookieポリシー マルイ,200,101
https://voi.0101.co.jp/voi/content/01/pc/guide/hyouji/index.html,特定商取引に関する法律に基づく表示  | マルイ,200,102
https://voi.0101.co.jp/voi/content/01/sp/guide/hyouji/index.html,特定商取引に関する法律に基づく表示  | マルイ,200,103
https://voi.0101.co.jp/voi/sp/guide/userguide/otodoke.html,ご利用ガイド・ヘルプ │ お届け・配送料について │マルイウェブチャネル,200,104
https://voi.0101.co.jp/voi/other/kobutsu/,古物営業法に基づく表示 | ファッション通販 マルイウェブチャネル,200,105
https://voi.0101.co.jp/voi/content/01/pc/guide/alcohol/index.html,酒類販売管理者標識  | マルイ,200,106
https://voi.0101.co.jp/voi/content/01/pc/guide/contact_lenses/index.html,高度管理医療機器等販売業許可に基づく表示  | マルイ,200,107
https://voi.0101.co.jp/voi/content/01/sp/sitemap/index.html,サイトマップ  | マルイのネット通販 マルイウェブチャネル,200,108
https://voi.0101.co.jp/voi/search/searchItemTop,カテゴリーからさがす │マルイウェブチャネル,200,109
https://voi.0101.co.jp/voi/content/01/pc/other/reuse/kaitori.html,宅配買取サービス マルイウェブチャネル,200,110
https://voi.0101.co.jp/voi/purchase/introducePurchase.do?intid=pckaitori_request,ログイン | マルイウェブチャネル,200,111
https://voi.0101.co.jp/voi/content/01/sp/other/reuse/kaitori.html,宅配買取サービス マルイウェブチャネル,200,111
https://voi.0101.co.jp/voi/content/01/sp/contents/webshop/event/other/sumallypocket.html,"宅配収納サービス ""サマリーポケット""  | マルイのネット通販 マルイウェブチャネル",200,112
https://voi.0101.co.jp/voi/sumally/introduce.do?openbrowser=1&intid=sumallypocket_lp,ログイン | マルイウェブチャネル,200,113
